"Code","Fullresp","Modality","Audio","Video","Resp","ProverbioCond","audPoA","vidPoA","McGurkCond","Correct","Subject","Group"
145,"FA","audio","F","D","F","audio","labiodental","alveolar","audio",TRUE,"nm01 mcgurk1.zil","nonmusician"
268,"TA","audiovisual","T","K","T","audiovisual incongruent","alveolar","velar","audiovisual incongruent",TRUE,"nm01 mcgurk1.zil","nonmusician"
134,"MA","audio","M","F","M","audio","labial","labiodental","audio",TRUE,"nm01 mcgurk1.zil","nonmusician"
232,"MA","audiovisual","M","P","M","audiovisual incongruent","labial","labial","audiovisual congruent",TRUE,"nm01 mcgurk1.zil","nonmusician"
156,"DA","audio","D","T","D","audio","alveolar","alveolar","audio",TRUE,"nm01 mcgurk1.zil","nonmusician"
185,"KA","audio","K","D","K","audio","velar","alveolar","audio",TRUE,"nm01 mcgurk1.zil","nonmusician"
163,"TA","audio","T","M","T","audio","alveolar","labial","audio",TRUE,"nm01 mcgurk1.zil","nonmusician"
221,"PA","audiovisual","P","B","P","audiovisual incongruent","labial","labial","audiovisual congruent",TRUE,"nm01 mcgurk1.zil","nonmusician"
271,"LA","audiovisual","L","B","L","audiovisual incongruent","alveolar","labial","audiovisual incongruent",TRUE,"nm01 mcgurk1.zil","nonmusician"
218,"A","audiovisual","B","K","A","audiovisual incongruent","labial","velar","audiovisual incongruent",FALSE,"nm01 mcgurk1.zil","nonmusician"
171,"LA","audio","L","B","L","audio","alveolar","labial","audio",TRUE,"nm01 mcgurk1.zil","nonmusician"
264,"TA","audiovisual","T","F","T","audiovisual incongruent","alveolar","labiodental","audiovisual incongruent",TRUE,"nm01 mcgurk1.zil","nonmusician"
114,"A","audio","B","F","A","audio","labial","labiodental","audio",FALSE,"nm01 mcgurk1.zil","nonmusician"
111,"A","audio","B","B","A","audio","labial","labial","audio",FALSE,"nm01 mcgurk1.zil","nonmusician"
278,"LA","audiovisual","L","K","L","audiovisual incongruent","alveolar","velar","audiovisual incongruent",TRUE,"nm01 mcgurk1.zil","nonmusician"
225,"TA","audiovisual","P","D","T","audiovisual incongruent","labial","alveolar","audiovisual incongruent",FALSE,"nm01 mcgurk1.zil","nonmusician"
112,"A","audio","B","P","A","audio","labial","labial","audio",FALSE,"nm01 mcgurk1.zil","nonmusician"
231,"MA","audiovisual","M","B","M","audiovisual incongruent","labial","labial","audiovisual congruent",TRUE,"nm01 mcgurk1.zil","nonmusician"
275,"LA","audiovisual","L","D","L","audiovisual incongruent","alveolar","alveolar","audiovisual congruent",TRUE,"nm01 mcgurk1.zil","nonmusician"
251,"BABABA","audiovisual","D","B","B","audiovisual incongruent","alveolar","labial","audiovisual incongruent",FALSE,"nm02 mcgurk2.zil","nonmusician"
186,"KAKAKA","audio","K","T","K","audio","velar","alveolar","audio",TRUE,"nm02 mcgurk2.zil","nonmusician"
244,"FAFAFA","audiovisual","F","F","F","audiovisual congruent","labiodental","labiodental","audiovisual congruent",TRUE,"nm02 mcgurk2.zil","nonmusician"
217,"BABABA","audiovisual","B","L","B","audiovisual incongruent","labial","alveolar","audiovisual incongruent",TRUE,"nm02 mcgurk2.zil","nonmusician"
162,"TATATA","audio","T","P","T","audio","alveolar","labial","audio",TRUE,"nm02 mcgurk2.zil","nonmusician"
232,"MAMAMA","audiovisual","M","P","M","audiovisual incongruent","labial","labial","audiovisual congruent",TRUE,"nm02 mcgurk2.zil","nonmusician"
161,"TATATA","audio","T","B","T","audio","alveolar","labial","audio",TRUE,"nm02 mcgurk2.zil","nonmusician"
141,"FAFAFA","audio","F","B","F","audio","labiodental","labial","audio",TRUE,"nm02 mcgurk2.zil","nonmusician"
218,"BABABA","audiovisual","B","K","B","audiovisual incongruent","labial","velar","audiovisual incongruent",TRUE,"nm02 mcgurk2.zil","nonmusician"
138,"MAMAMA","audio","M","K","M","audio","labial","velar","audio",TRUE,"nm02 mcgurk2.zil","nonmusician"
178,"LALALA","audio","L","K","L","audio","alveolar","velar","audio",TRUE,"nm02 mcgurk2.zil","nonmusician"
177,"LALALA","audio","L","L","L","audio","alveolar","alveolar","audio",TRUE,"nm02 mcgurk2.zil","nonmusician"
261,"PAPAPA","audiovisual","T","B","P","audiovisual incongruent","alveolar","labial","audiovisual incongruent",FALSE,"nm02 mcgurk2.zil","nonmusician"
182,"KAKAKA","audio","K","P","K","audio","velar","labial","audio",TRUE,"nm02 mcgurk2.zil","nonmusician"
126,"PA","audio","P","T","P","audio","labial","alveolar","audio",TRUE,"nm02 mcgurk2.zil","nonmusician"
165,"PA","audio","T","D","P","audio","alveolar","alveolar","audio",FALSE,"nm02 mcgurk2.zil","nonmusician"
115,"BA","audio","B","D","B","audio","labial","alveolar","audio",TRUE,"nm02 mcgurk2.zil","nonmusician"
137,"MA","audio","M","L","M","audio","labial","alveolar","audio",TRUE,"nm02 mcgurk2.zil","nonmusician"
273,"BLA","audiovisual","L","M","B","audiovisual incongruent","alveolar","labial","audiovisual incongruent",FALSE,"nm02 mcgurk2.zil","nonmusician"
132,"MA","audio","M","P","M","audio","labial","labial","audio",TRUE,"nm02 mcgurk2.zil","nonmusician"
176,"LA","audio","L","T","L","audio","alveolar","alveolar","audio",TRUE,"nm02 mcgurk2.zil","nonmusician"
114,"BA","audio","B","F","B","audio","labial","labiodental","audio",TRUE,"nm02 mcgurk2.zil","nonmusician"
284,"KA","audiovisual","K","F","K","audiovisual incongruent","velar","labiodental","audiovisual incongruent",TRUE,"nm02 mcgurk2.zil","nonmusician"
121,"PA","audio","P","B","P","audio","labial","labial","audio",TRUE,"nm02 mcgurk2.zil","nonmusician"
163,"PA","audio","T","M","P","audio","alveolar","labial","audio",FALSE,"nm02 mcgurk2.zil","nonmusician"
277,"LA","audiovisual","L","L","L","audiovisual congruent","alveolar","alveolar","audiovisual congruent",TRUE,"nm02 mcgurk2.zil","nonmusician"
158,"BA","audio","D","K","B","audio","alveolar","velar","audio",FALSE,"nm02 mcgurk2.zil","nonmusician"
135,"MA","audio","M","D","M","audio","labial","alveolar","audio",TRUE,"nm02 mcgurk2.zil","nonmusician"
113,"BA","audio","B","M","B","audio","labial","labial","audio",TRUE,"nm02 mcgurk2.zil","nonmusician"
226,"TA","audiovisual","P","T","T","audiovisual incongruent","labial","alveolar","audiovisual incongruent",FALSE,"nm02 mcgurk2.zil","nonmusician"
234,"MA","audiovisual","M","F","M","audiovisual incongruent","labial","labiodental","audiovisual incongruent",TRUE,"nm02 mcgurk2.zil","nonmusician"
166,"PA","audio","T","T","P","audio","alveolar","alveolar","audio",FALSE,"nm02 mcgurk2.zil","nonmusician"
286,"KA","audiovisual","K","T","K","audiovisual incongruent","velar","alveolar","audiovisual incongruent",TRUE,"nm02 mcgurk2.zil","nonmusician"
258,"DA","audiovisual","D","K","D","audiovisual incongruent","alveolar","velar","audiovisual incongruent",TRUE,"nm02 mcgurk2.zil","nonmusician"
271,"BLA","audiovisual","L","B","B","audiovisual incongruent","alveolar","labial","audiovisual incongruent",FALSE,"nm02 mcgurk2.zil","nonmusician"
167,"PA","audio","T","L","P","audio","alveolar","alveolar","audio",FALSE,"nm02 mcgurk2.zil","nonmusician"
267,"TA","audiovisual","T","L","T","audiovisual incongruent","alveolar","alveolar","audiovisual congruent",TRUE,"nm02 mcgurk2.zil","nonmusician"
248,"FA","audiovisual","F","K","F","audiovisual incongruent","labiodental","velar","audiovisual incongruent",TRUE,"nm02 mcgurk2.zil","nonmusician"
187,"KA","audio","K","L","K","audio","velar","alveolar","audio",TRUE,"nm02 mcgurk2.zil","nonmusician"
175,"LA","audio","L","D","L","audio","alveolar","alveolar","audio",TRUE,"nm02 mcgurk2.zil","nonmusician"
265,"TA","audiovisual","T","D","T","audiovisual incongruent","alveolar","alveolar","audiovisual congruent",TRUE,"nm02 mcgurk2.zil","nonmusician"
152,"BA","audio","D","P","B","audio","alveolar","labial","audio",FALSE,"nm02 mcgurk2.zil","nonmusician"
257,"DA","audiovisual","D","L","D","audiovisual incongruent","alveolar","alveolar","audiovisual congruent",TRUE,"nm02 mcgurk2.zil","nonmusician"
285,"KA","audiovisual","K","D","K","audiovisual incongruent","velar","alveolar","audiovisual incongruent",TRUE,"nm02 mcgurk2.zil","nonmusician"
254,"FA","audiovisual","D","F","F","audiovisual incongruent","alveolar","labiodental","audiovisual incongruent",FALSE,"nm02 mcgurk2.zil","nonmusician"
155,"BA","audio","D","D","B","audio","alveolar","alveolar","audio",FALSE,"nm02 mcgurk2.zil","nonmusician"
278,"LA","audiovisual","L","K","L","audiovisual incongruent","alveolar","velar","audiovisual incongruent",TRUE,"nm02 mcgurk2.zil","nonmusician"
183,"KA","audio","K","M","K","audio","velar","labial","audio",TRUE,"nm02 mcgurk2.zil","nonmusician"
288,"KA","audiovisual","K","K","K","audiovisual congruent","velar","velar","audiovisual congruent",TRUE,"nm02 mcgurk2.zil","nonmusician"
223,"PA","audiovisual","P","M","P","audiovisual incongruent","labial","labial","audiovisual congruent",TRUE,"nm02 mcgurk2.zil","nonmusician"
136,"MA","audio","M","T","M","audio","labial","alveolar","audio",TRUE,"nm02 mcgurk2.zil","nonmusician"
287,"KA","audiovisual","K","L","K","audiovisual incongruent","velar","alveolar","audiovisual incongruent",TRUE,"nm02 mcgurk2.zil","nonmusician"
145,"FA","audio","F","D","F","audio","labiodental","alveolar","audio",TRUE,"nm02 mcgurk2.zil","nonmusician"
117,"BA","audio","B","L","B","audio","labial","alveolar","audio",TRUE,"nm02 mcgurk2.zil","nonmusician"
157,"BA","audio","D","L","B","audio","alveolar","alveolar","audio",FALSE,"nm02 mcgurk2.zil","nonmusician"
276,"LA","audiovisual","L","T","L","audiovisual incongruent","alveolar","alveolar","audiovisual congruent",TRUE,"nm02 mcgurk2.zil","nonmusician"
282,"KA","audiovisual","K","P","K","audiovisual incongruent","velar","labial","audiovisual incongruent",TRUE,"nm02 mcgurk2.zil","nonmusician"
275,"LA","audiovisual","L","D","L","audiovisual incongruent","alveolar","alveolar","audiovisual congruent",TRUE,"nm02 mcgurk2.zil","nonmusician"
252,"BA","audiovisual","D","P","B","audiovisual incongruent","alveolar","labial","audiovisual incongruent",FALSE,"nm02 mcgurk2.zil","nonmusician"
245,"FA","audiovisual","F","D","F","audiovisual incongruent","labiodental","alveolar","audiovisual incongruent",TRUE,"nm02 mcgurk2.zil","nonmusician"
112,"BA","audio","B","P","B","audio","labial","labial","audio",TRUE,"nm02 mcgurk2.zil","nonmusician"
236,"MA","audiovisual","M","T","M","audiovisual incongruent","labial","alveolar","audiovisual incongruent",TRUE,"nm02 mcgurk2.zil","nonmusician"
125,"PA","audio","P","D","P","audio","labial","alveolar","audio",TRUE,"nm02 mcgurk2.zil","nonmusician"
122,"PA","audio","P","P","P","audio","labial","labial","audio",TRUE,"nm02 mcgurk2.zil","nonmusician"
215,"BA","audiovisual","B","D","B","audiovisual incongruent","labial","alveolar","audiovisual incongruent",TRUE,"nm02 mcgurk2.zil","nonmusician"
225,"TA","audiovisual","P","D","T","audiovisual incongruent","labial","alveolar","audiovisual incongruent",FALSE,"nm02 mcgurk2.zil","nonmusician"
283,"KA","audiovisual","K","M","K","audiovisual incongruent","velar","labial","audiovisual incongruent",TRUE,"nm02 mcgurk2.zil","nonmusician"
227,"TA","audiovisual","P","L","T","audiovisual incongruent","labial","alveolar","audiovisual incongruent",FALSE,"nm02 mcgurk2.zil","nonmusician"
243,"FA","audiovisual","F","M","F","audiovisual incongruent","labiodental","labial","audiovisual incongruent",TRUE,"nm02 mcgurk2.zil","nonmusician"
228,"HA","audiovisual","P","K","H","audiovisual incongruent","labial","velar","audiovisual incongruent",FALSE,"nm02 mcgurk2.zil","nonmusician"
237,"LA","audiovisual","M","L","L","audiovisual incongruent","labial","alveolar","audiovisual incongruent",FALSE,"nm02 mcgurk2.zil","nonmusician"
127,"PA","audio","P","L","P","audio","labial","alveolar","audio",TRUE,"nm02 mcgurk2.zil","nonmusician"
263,"PA","audiovisual","T","M","P","audiovisual incongruent","alveolar","labial","audiovisual incongruent",FALSE,"nm02 mcgurk2.zil","nonmusician"
156,"BA","audio","D","T","B","audio","alveolar","alveolar","audio",FALSE,"nm02 mcgurk2.zil","nonmusician"
255,"DA","audiovisual","D","D","D","audiovisual congruent","alveolar","alveolar","audiovisual congruent",TRUE,"nm02 mcgurk2.zil","nonmusician"
134,"MA","audio","M","F","M","audio","labial","labiodental","audio",TRUE,"nm02 mcgurk2.zil","nonmusician"
256,"DA","audiovisual","D","T","D","audiovisual incongruent","alveolar","alveolar","audiovisual congruent",TRUE,"nm02 mcgurk2.zil","nonmusician"
168,"TA","audio","T","K","T","audio","alveolar","velar","audio",TRUE,"nm02 mcgurk2.zil","nonmusician"
124,"PA","audio","P","F","P","audio","labial","labiodental","audio",TRUE,"nm02 mcgurk2.zil","nonmusician"
148,"FA","audio","F","K","F","audio","labiodental","velar","audio",TRUE,"nm02 mcgurk2.zil","nonmusician"
147,"FA","audio","F","L","F","audio","labiodental","alveolar","audio",TRUE,"nm02 mcgurk2.zil","nonmusician"
268,"TA","audiovisual","T","K","T","audiovisual incongruent","alveolar","velar","audiovisual incongruent",TRUE,"nm02 mcgurk2.zil","nonmusician"
133,"MA","audio","M","M","M","audio","labial","labial","audio",TRUE,"nm02 mcgurk2.zil","nonmusician"
213,"BA","audiovisual","B","M","B","audiovisual incongruent","labial","labial","audiovisual congruent",TRUE,"nm02 mcgurk2.zil","nonmusician"
188,"KA","audio","K","K","K","audio","velar","velar","audio",TRUE,"nm02 mcgurk2.zil","nonmusician"
